S.No,Player,Nation,Pos,Squad,Comp,Age,Born,Matches,Min,Goals,Assist,G+A,CrdY,CrdR,FK,Tkl%,Lost,Pass
835,Elif Elmas,mk MKD,MF,RB Leipzig,de Bundesliga,24,1999,2,44,0,0,0,1,0,0,33.3,2,2
836,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,30,1994,22,1457,0,0,0,2,1,0,57.9,8,5
837,Nico Elvedi,ch SUI,DF,Gladbach,de Bundesliga,27,1996,25,2135,1,1,2,1,0,0,73.9,6,8
838,Adri Embarba,es ESP,"FW,MF",Rayo Vallecano,es La Liga,32,1992,35,1607,1,1,2,4,0,2,38.3,29,17
839,Breel Embolo,ch SUI,"FW,MF",Monaco,fr Ligue 1,27,1997,29,1841,6,4,10,5,0,0,31.3,11,11
840,Emanuel Emegha,nl NED,FW,Strasbourg,fr Ligue 1,21,2003,27,2293,14,3,17,5,0,0,33.3,4,13
841,Emerson,br BRA,DF,Milan,it Serie A,25,1999,17,1377,0,0,0,5,0,0,47.1,18,11
842,Yunus Emre Konak,tr TUR,"FW,MF",Brentford,eng Premier League,18,2006,10,42,0,0,0,0,0,0,50,1,2
843,Julio Enciso,py PAR,"MF,FW",Ipswich Town,eng Premier League,20,2004,13,869,2,3,5,3,0,1,36.4,7,7
844,Julio Enciso,py PAR,"MF,FW",Brighton,eng Premier League,20,2004,12,294,0,0,0,0,0,1,0,2,2
845,Wataru Endo,jp JPN,"MF,DF",Liverpool,eng Premier League,31,1993,20,273,0,0,0,0,0,0,60,4,7
846,Endrick,br BRA,FW,Real Madrid,es La Liga,18,2006,22,363,1,0,1,1,0,0,33.3,2,0
847,Yannik Engelhardt,de GER,"MF,DF",Como,it Serie A,23,2001,26,1164,1,1,2,4,0,0,59.3,11,7
848,Arne Engels,be BEL,"MF,FW",Augsburg,de Bundesliga,20,2003,1,79,0,0,0,1,0,0,,0,0
849,Christian Eriksen,dk DEN,MF,Manchester Utd,eng Premier League,32,1992,23,1061,1,2,3,4,0,3,40.7,16,10
850,Martin Erlic,hr CRO,DF,Bologna,it Serie A,26,1998,8,334,0,0,0,0,0,0,50,1,1
851,Patrick Erras,de GER,DF,Holstein Kiel,de Bundesliga,29,1995,10,832,1,0,1,2,0,0,22.2,7,2
852,Alfonso Espino,uy URU,DF,Rayo Vallecano,es La Liga,32,1992,16,833,0,1,1,4,0,0,55.3,21,13
853,Sebastiano Esposito,it ITA,"FW,MF",Empoli,it Serie A,22,2002,33,2331,8,0,8,1,0,10,51.4,17,18
854,Romain Esse,eng ENG,MF,Crystal Palace,eng Premier League,19,2005,7,138,1,1,2,0,0,0,100,0,2
855,Samuel Essende,cd COD,FW,Augsburg,de Bundesliga,26,1998,30,1636,7,2,9,4,2,0,75,1,11
856,Dario Essugo,pt POR,MF,Las Palmas,es La Liga,19,2005,27,1938,1,0,1,11,2,0,60.9,18,17
857,Estanis,es ESP,FW,Bologna,it Serie A,20,2003,1,9,0,0,0,0,0,0,,0,0
858,Nahuel Estévez,ar ARG,MF,Parma,it Serie A,28,1995,14,657,0,0,0,3,0,0,40,9,7
859,Pervis Estupiñán,ec ECU,DF,Brighton,eng Premier League,26,1998,30,2402,1,1,2,5,0,3,66.7,17,15
860,Etienne Eto'o,cm CMR,FW,Rayo Vallecano,es La Liga,21,2002,2,40,0,0,0,0,0,0,0,1,0
861,Karl Etta,cm CMR,"MF,FW",Villarreal,es La Liga,20,2003,4,37,1,0,1,0,0,0,0,1,1
862,Evanilson,br BRA,FW,Bournemouth,eng Premier League,24,1999,31,2319,10,1,11,1,1,0,66.7,4,9
863,Jake Evans,,FW,Leicester City,eng Premier League,,,4,24,0,0,0,0,0,0,0,1,0
864,Jonny Evans,nir NIR,DF,Manchester Utd,eng Premier League,36,1988,7,315,0,0,0,1,0,0,50,3,1
865,Edu Expósito,es ESP,MF,Espanyol,es La Liga,27,1996,19,1045,0,2,2,3,0,3,39.1,14,3
866,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,eng Premier League,26,1998,34,2588,8,8,16,1,0,16,47.2,19,27
